country,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008"
Algeria,"16104" ,"17345" ,"18286" ,"19415" ,"19883" ,"19715" ,"20654" ,"21150" ,"23615" ,"24757" ,"25008" ,"26256" ,"27403" ,"29192" ,"30925" ,"33611" ,"35007" ,"36951" ,"39987" 
Argentina,"50940" ,"54054" ,"56262" ,"62530" ,"65622" ,"67169" ,"69759" ,"72463" ,"74170" ,"80745" ,"88978" ,"90138" ,"84581" ,"92047" ,"100267" ,"105545" ,"117142" ,"120828" ,"125057" 
Australia,"155964" ,"158250" ,"161698" ,"165632" ,"170439" ,"175504" ,"180400" ,"189551" ,"199660" ,"205565" ,"212301" ,"221602" ,"227239" ,"228256" ,"237396" ,"248968" ,"254750" ,"260593" ,"272262" 
Austria,"50414" ,"51484" ,"51180" ,"52675" ,"53309" ,"56587" ,"54835" ,"56851" ,"57437" ,"60369" ,"61798" ,"61803" ,"62671" ,"60219" ,"64285" ,"60632" ,"63394" ,"63741" ,"67796" 
Azerbaijan,"23200" ,"23356" ,"19673" ,"19100" ,"17571" ,"17044" ,"17088" ,"16800" ,"17900" ,"18100" ,"18700" ,"18969" ,"18701" ,"21286" ,"21744" ,"22872" ,"24543" ,"21847" ,"21646" 
Bangladesh,"8326" ,"9242" ,"9710" ,"10156" ,"11111" ,"12118" ,"12809" ,"13066" ,"14044" ,"15179" ,"15760" ,"17086" ,"18649" ,"19712" ,"21466" ,"22643" ,"24334" ,"25891" ,"27497" 
Belarus,"39526" ,"38735" ,"37595" ,"33369" ,"31397" ,"24918" ,"23728" ,"26100" ,"23500" ,"26500" ,"26100" ,"25042" ,"26455" ,"26627" ,"31211" ,"30961" ,"31811" ,"31811" ,"34912" 
Brazil,"222821" ,"234366" ,"241730" ,"251973" ,"260041" ,"275601" ,"291244" ,"307986" ,"321748" ,"334716" ,"348909" ,"328509" ,"345671" ,"364339" ,"387451" ,"402938" ,"419337" ,"444583" ,"454500" 
Bulgaria,"42141" ,"38917" ,"35610" ,"37997" ,"38133" ,"41790" ,"42716" ,"42720" ,"41666" ,"38177" ,"40927" ,"43969" ,"42701" ,"42600" ,"41621" ,"44365" ,"45843" ,"43139" ,"44988" 
Canada,"482025" ,"507913" ,"520924" ,"532094" ,"555650" ,"559562" ,"572910" ,"573573" ,"561619" ,"577080" ,"604799" ,"582371" ,"581094" ,"567833" ,"576418" ,"597248" ,"592008" ,"603572" ,"598928" 
Chile,"18372" ,"19808" ,"22167" ,"23332" ,"25267" ,"26742" ,"30261" ,"32549" ,"35503" ,"38389" ,"40077" ,"42531" ,"43670" ,"48780" ,"52854" ,"54483" ,"57555" ,"60138" ,"60551" 
China,"621200" ,"677550" ,"753940" ,"811590" ,"927800" ,"1006554" ,"1081300" ,"1104500" ,"1163506" ,"1197471" ,"1355600" ,"1480802" ,"1654000" ,"1910575" ,"2203310" ,"2500260" ,"2865726" ,"3281553" ,"3433400" 
Colombia,"35393" ,"36661" ,"35993" ,"40298" ,"43354" ,"45303" ,"44869" ,"45900" ,"46065" ,"44400" ,"42296" ,"43300" ,"45800" ,"47100" ,"48571" ,"49295" ,"52340" ,"53626" ,"54396" 
Czech Rep.,"62560" ,"60528" ,"59293" ,"58882" ,"58705" ,"60847" ,"64257" ,"64598" ,"64930" ,"64692" ,"73466" ,"74647" ,"76348" ,"83227" ,"84333" ,"82579" ,"84288" ,"88081" ,"85486" 
Denmark,"25758" ,"36330" ,"30849" ,"33738" ,"40554" ,"36604" ,"53551" ,"43727" ,"40985" ,"38869" ,"35838" ,"37605" ,"39047" ,"45993" ,"40260" ,"36027" ,"45591" ,"39227" ,"36411" 
Ecuador,"6349" ,"6745" ,"7196" ,"7411" ,"8144" ,"8429" ,"9672" ,"10362" ,"10890" ,"10332" ,"10612" ,"11072" ,"11944" ,"12666" ,"14227" ,"15128" ,"16086" ,"18198" ,"19533" 
Egypt,"42863" ,"44880" ,"46739" ,"48321" ,"50446" ,"53398" ,"56561" ,"61000" ,"65159" ,"70747" ,"72980" ,"80220" ,"85681" ,"91517" ,"97304" ,"103982" ,"110706" ,"118966" ,"127853" 
Finland,"53983" ,"57495" ,"57277" ,"60575" ,"65031" ,"63186" ,"69372" ,"68782" ,"70035" ,"69475" ,"69952" ,"74340" ,"75228" ,"83881" ,"85659" ,"70254" ,"82157" ,"81248" ,"77137" 
France,"420155" ,"454735" ,"463097" ,"472575" ,"476907" ,"493900" ,"513139" ,"504148" ,"510892" ,"523557" ,"540800" ,"549800" ,"559200" ,"566900" ,"574300" ,"576200" ,"574600" ,"569800" ,"574400" 
Germany,"549877" ,"539391" ,"537136" ,"525721" ,"528221" ,"534727" ,"550309" ,"549746" ,"553422" ,"554900" ,"564450" ,"586100" ,"586700" ,"607500" ,"616000" ,"620300" ,"636800" ,"637600" ,"639100" 
Greece,"35003" ,"35813" ,"37410" ,"38396" ,"40623" ,"41551" ,"42557" ,"43505" ,"46329" ,"49620" ,"53843" ,"53704" ,"54608" ,"58478" ,"59346" ,"60020" ,"60789" ,"63243" ,"62143" 
"Hong Kong, China","28960" ,"31889" ,"35076" ,"35947" ,"26741" ,"27916" ,"28440" ,"28943" ,"31134" ,"29496" ,"31329" ,"32429" ,"34312" ,"35506" ,"37129" ,"38448" ,"38613" ,"38948" ,"37990" 
Hungary,"28411" ,"29980" ,"31614" ,"32784" ,"33515" ,"34017" ,"35102" ,"35396" ,"37188" ,"37154" ,"35191" ,"36418" ,"36158" ,"34145" ,"33708" ,"35755" ,"35859" ,"39959" ,"40002" 
Iceland,"4510" ,"4494" ,"4546" ,"4727" ,"4780" ,"4976" ,"5113" ,"5580" ,"6275" ,"7185" ,"7679" ,"8028" ,"8411" ,"8495" ,"8618" ,"8680" ,"9548" ,"11976" ,"16467" 
India,"295988" ,"319902" ,"338619" ,"363641" ,"393679" ,"422715" ,"444004" ,"473597" ,"506799" ,"542550" ,"565412" ,"583476" ,"605726" ,"641425" ,"673770" ,"708684" ,"759692" ,"808832" ,"834255" 
Indonesia,"33336" ,"37674" ,"41009" ,"44415" ,"51706" ,"58885" ,"66718" ,"76489" ,"77263" ,"84269" ,"92640" ,"101647" ,"108206" ,"112926" ,"120160" ,"127362" ,"133108" ,"142411" ,"151156" 
Iran,"57654" ,"62815" ,"67178" ,"74685" ,"81005" ,"84353" ,"88760" ,"96983" ,"102386" ,"110088" ,"119348" ,"128166" ,"138224" ,"145659" ,"156408" ,"169666" ,"184279" ,"196041" ,"206300" 
Ireland,"14515" ,"15147" ,"16011" ,"16396" ,"17126" ,"17879" ,"19181" ,"19958" ,"21077" ,"22038" ,"23977" ,"25315" ,"24632" ,"25301" ,"25569" ,"25970" ,"27037" ,"28226" ,"29750" 
Italy,"216891" ,"222041" ,"226243" ,"222788" ,"231803" ,"241480" ,"244491" ,"251462" ,"259761" ,"265657" ,"276629" ,"278995" ,"284401" ,"293865" ,"303321" ,"303672" ,"314090" ,"313900" ,"317900" 
Japan,"841057" ,"870798" ,"876404" ,"887215" ,"943669" ,"968610" ,"989285" ,"1014639" ,"1019835" ,"1036789" ,"1057937" ,"1039719" ,"1058342" ,"1082614" ,"1107846" ,"1133584" ,"1139783" ,"1160042" ,"1154334" 
Kazakhstan,"87379" ,"85990" ,"83166" ,"77889" ,"66777" ,"66739" ,"58747" ,"52000" ,"49800" ,"47300" ,"51635" ,"55600" ,"58700" ,"63866" ,"66942" ,"67920" ,"71668" ,"76622" ,"79980" 
"Korea, Rep.","118738" ,"132228" ,"147843" ,"163449" ,"184931" ,"205102" ,"227554" ,"248653" ,"240587" ,"266818" ,"295156" ,"313963" ,"336237" ,"352352" ,"372148" ,"396611" ,"415949" ,"439984" ,"462863" 
Kuwait,"18477" ,"10780" ,"16885" ,"20178" ,"22802" ,"23724" ,"25475" ,"26724" ,"29984" ,"31576" ,"32853" ,"34829" ,"36892" ,"39802" ,"41256" ,"43734" ,"47607" ,"49321" ,"52034" 
Lithuania,"28405" ,"29363" ,"18707" ,"14105" ,"9998" ,"13840" ,"16789" ,"14861" ,"17630" ,"13535" ,"11425" ,"14737" ,"17721" ,"19488" ,"19274" ,"14784" ,"12482" ,"14008" ,"14010" 
Malaysia,"25262" ,"28335" ,"31887" ,"35579" ,"40058" ,"46632" ,"52819" ,"58674" ,"60471" ,"62553" ,"66678" ,"72280" ,"75328" ,"84022" ,"90661" ,"96225" ,"100831" ,"104950" ,"106366" 
Mexico,"122449" ,"126807" ,"130103" ,"135026" ,"145987" ,"152548" ,"162526" ,"175149" ,"181801" ,"192267" ,"204373" ,"209642" ,"214101" ,"216977" ,"222009" ,"233078" ,"244920" ,"253691" ,"256751" 
Netherlands,"71866" ,"74252" ,"77202" ,"76992" ,"79647" ,"81048" ,"85048" ,"86573" ,"90840" ,"86680" ,"89467" ,"93720" ,"96290" ,"96705" ,"102440" ,"100424" ,"98835" ,"105164" ,"107599" 
New Zealand,"32147" ,"33352" ,"32727" ,"34092" ,"34923" ,"35998" ,"36402" ,"37153" ,"37334" ,"37800" ,"39269" ,"39690" ,"40631" ,"40821" ,"42508" ,"42965" ,"43596" ,"43758" ,"43726" 
Norway,"121848" ,"111009" ,"117506" ,"120095" ,"113488" ,"123193" ,"104755" ,"111636" ,"116983" ,"122660" ,"142984" ,"121920" ,"130600" ,"107274" ,"110602" ,"138073" ,"121663" ,"137709" ,"142667" 
Pakistan,"45985" ,"50220" ,"53575" ,"57012" ,"57923" ,"63750" ,"67565" ,"62481" ,"66396" ,"65302" ,"64650" ,"75121" ,"81637" ,"84488" ,"88658" ,"87107" ,"96226" ,"98789" ,"95101" 
Peru,"13808" ,"14482" ,"13122" ,"14808" ,"15866" ,"16144" ,"17280" ,"17953" ,"18583" ,"19050" ,"19923" ,"20786" ,"21982" ,"22923" ,"24267" ,"25510" ,"27370" ,"29943" ,"32627" 
Philippines,"26327" ,"25649" ,"25870" ,"26579" ,"30459" ,"33554" ,"36708" ,"39797" ,"41578" ,"41432" ,"45290" ,"47049" ,"48467" ,"52941" ,"55957" ,"56568" ,"56784" ,"59612" ,"59616" 
Poland,"136364" ,"134712" ,"132728" ,"133867" ,"135350" ,"139006" ,"143173" ,"142769" ,"142771" ,"142128" ,"145183" ,"145655" ,"144126" ,"151631" ,"154159" ,"156936" ,"161742" ,"159348" ,"154607" 
Portugal,"28500" ,"29871" ,"30087" ,"31205" ,"31380" ,"33263" ,"34521" ,"34208" ,"38984" ,"43287" ,"43764" ,"46509" ,"46107" ,"46852" ,"45105" ,"46585" ,"49041" ,"47441" ,"46114" 
Qatar,"4842" ,"4669" ,"5183" ,"5560" ,"5850" ,"6013" ,"6615" ,"6910" ,"8166" ,"8939" ,"9134" ,"9951" ,"10940" ,"12012" ,"13233" ,"14396" ,"15325" ,"17501" ,"19706" 
Romania,"63769" ,"56914" ,"54195" ,"55476" ,"55136" ,"59267" ,"61350" ,"57148" ,"53496" ,"50713" ,"51935" ,"53866" ,"54935" ,"56645" ,"56482" ,"59413" ,"62697" ,"61673" ,"64636" 
Russia,"1082200" ,"1068000" ,"1008000" ,"956000" ,"876400" ,"862100" ,"847000" ,"834000" ,"826100" ,"846200" ,"877800" ,"891300" ,"891270" ,"912080" ,"931900" ,"953100" ,"995950" ,"1014371" ,"1036200" 
Saudi Arabia,"70116" ,"74574" ,"79630" ,"87913" ,"96901" ,"99857" ,"103381" ,"107289" ,"112691" ,"120000" ,"126191" ,"133673" ,"141737" ,"153000" ,"159414" ,"174970" ,"179782" ,"185895" ,"193702" 
Singapore,"15618" ,"16597" ,"17543" ,"18962" ,"20676" ,"22057" ,"23458" ,"26188" ,"28283" ,"29520" ,"31665" ,"33089" ,"34665" ,"35331" ,"36810" ,"38213" ,"39442" ,"41138" ,"41717" 
Slovak Republic,"24019" ,"22732" ,"22255" ,"24429" ,"24740" ,"25905" ,"25261" ,"24251" ,"25000" ,"27743" ,"30685" ,"32046" ,"32427" ,"31178" ,"30567" ,"31455" ,"31418" ,"28056" ,"29488" 
South Africa,"165385" ,"168316" ,"167816" ,"174581" ,"182452" ,"188138" ,"200092" ,"210362" ,"205374" ,"203102" ,"210670" ,"210100" ,"217712" ,"234229" ,"244607" ,"244920" ,"253798" ,"266234" ,"273689" 
Spain,"151741" ,"159392" ,"161105" ,"160890" ,"164477" ,"168903" ,"176510" ,"183879" ,"196046" ,"208913" ,"224779" ,"237417" ,"246164" ,"264413" ,"280007" ,"294077" ,"303051" ,"306400" ,"310100" 
Sweden,"146508" ,"147384" ,"146444" ,"145975" ,"142895" ,"147617" ,"139686" ,"149407" ,"154234" ,"155159" ,"145757" ,"161729" ,"146731" ,"135213" ,"147647" ,"158413" ,"143300" ,"148557" ,"149256" 
Switzerland,"55804" ,"57810" ,"59126" ,"61267" ,"66453" ,"63080" ,"56888" ,"62715" ,"62877" ,"69546" ,"67351" ,"71912" ,"66654" ,"66988" ,"65549" ,"59772" ,"64130" ,"68026" ,"69111" 
Taiwan,"90201" ,"99176" ,"105528" ,"115205" ,"124635" ,"133117" ,"141962" ,"150186" ,"162879" ,"169473" ,"184856" ,"188518" ,"198812" ,"209051" ,"218371" ,"227357" ,"235186" ,"242674" ,"237723" 
Thailand,"46176" ,"52487" ,"59699" ,"66305" ,"74452" ,"83660" ,"91202" ,"97553" ,"94269" ,"94267" ,"95977" ,"102420" ,"109013" ,"116983" ,"125727" ,"132197" ,"138742" ,"144596" ,"147538" 
Turkey,"57543" ,"60246" ,"67342" ,"73808" ,"78322" ,"86247" ,"94862" ,"102000" ,"110900" ,"116594" ,"124921" ,"122725" ,"132482" ,"141280" ,"149608" ,"161983" ,"176237" ,"190689" ,"199079" 
Turkmenistan,"14610" ,"14900" ,"13100" ,"12637" ,"10496" ,"9800" ,"10100" ,"9400" ,"9100" ,"9000" ,"9845" ,"11154" ,"11200" ,"10800" ,"11425" ,"12820" ,"13650" ,"14606" ,"15336" 
Ukraine,"298500" ,"279000" ,"252600" ,"229907" ,"202922" ,"194018" ,"181709" ,"176000" ,"171900" ,"171000" ,"169000" ,"171400" ,"173734" ,"179504" ,"182200" ,"185000" ,"192125" ,"195131" ,"191688" 
United Arab Emirates,"17081" ,"17352" ,"18689" ,"21730" ,"23736" ,"24982" ,"26572" ,"28464" ,"33392" ,"37127" ,"39944" ,"43172" ,"46586" ,"49540" ,"52417" ,"60698" ,"66768" ,"71909" ,"77230" 
United Kingdom,"319739" ,"322875" ,"321043" ,"323102" ,"326558" ,"337424" ,"350867" ,"350667" ,"362702" ,"368152" ,"377070" ,"384786" ,"387246" ,"398209" ,"393929" ,"398359" ,"397855" ,"396142" ,"390011" 
United States,"3185427" ,"3223287" ,"3235428" ,"3353535" ,"3407381" ,"3516767" ,"3610696" ,"3660811" ,"3797086" ,"3875683" ,"3990496" ,"3924082" ,"4050287" ,"4075833" ,"4168116" ,"4257369" ,"4266332" ,"4364994" ,"4316037" 
Uzbekistan,"56325" ,"54165" ,"51050" ,"48716" ,"47000" ,"47400" ,"45419" ,"46000" ,"45900" ,"45300" ,"46800" ,"46576" ,"49306" ,"48700" ,"49627" ,"47706" ,"49299" ,"48999" ,"50099" 
Venezuela,"59321" ,"63337" ,"67440" ,"69382" ,"71221" ,"73446" ,"75588" ,"78066" ,"80904" ,"80585" ,"85211" ,"90117" ,"89395" ,"90060" ,"96870" ,"104358" ,"111478" ,"114538" ,"119295" 
